Country Code,Barley_Cellulose_2030,Barley_Hemicellulose_2030,Barley_Lignin_2030,Barley_Cellulose_2040,Barley_Hemicellulose_2040,Barley_Lignin_2040,Maize_Cellulose_2030,Maize_Hemicellulose_2030,Maize_Lignin_2030,Maize_Cellulose_2040,Maize_Hemicellulose_2040,Maize_Lignin_2040,Rice_Cellulose_2030,Rice_Hemicellulose_2030,Rice_Lignin_2030,Rice_Cellulose_2040,Rice_Hemicellulose_2040,Rice_Lignin_2040,Sorghum_Cellulose_2030,Sorghum_Hemicellulose_2030,Sorghum_Lignin_2030,Sorghum_Cellulose_2040,Sorghum_Hemicellulose_2040,Sorghum_Lignin_2040,Wheat_Cellulose_2030,Wheat_Hemicellulose_2030,Wheat_Lignin_2030,Wheat_Cellulose_2040,Wheat_Hemicellulose_2040,Wheat_Lignin_2040,Protein-2030,Protein-2040
98,12801731.96,6556984.664,10928307.77,12801731.96,6556984.664,10928307.77,431696.4701,298866.787,365281.6285,419051.0522,290112.2669,354581.6596,1240463.332,826975.5547,1412749.906,1236897.295,824598.1965,1408688.586,15887.56792,12710.05433,77319.49719,15860.88241,12688.70593,77189.62772,980481.8359,696658.1465,928877.5287,980481.8359,696658.1465,928877.5287,5110199.009,6845484.132
49,8766863.75,4490344.848,7483908.08,8766863.75,4490344.848,7483908.08,33797.22029,23398.07559,28597.64794,21151.80248,14643.55556,17897.67902,352563.2324,235042.1549,401530.348,348997.1951,232664.7967,397469.0277,141131.888,112905.5104,686841.8548,141158.5735,112926.8588,686971.7242,4226096.013,3002752.43,4003669.907,4226096.013,3002752.43,4003669.907,4622564.243,5809155.679
50,8308326.183,4255484.143,7092473.571,8308326.183,4255484.143,7092473.571,1295344.416,896776.9036,1096060.66,1307989.834,905531.4236,1106760.629,580963.0728,387308.7152,661652.3885,577397.0355,384931.357,657591.0682,8326.431863,6661.145491,40521.9684,8299.746356,6639.797085,40392.09893,507329.7791,360471.1588,480628.2118,507329.7791,360471.1588,480628.2118,3533052.71,4665965.822
167,8902559.716,4559847.66,7599746.099,8902559.716,4559847.66,7599746.099,136694.0623,94634.3508,115664.2065,149339.4801,103388.8708,126364.1755,1189446.686,792964.4576,1354647.615,1185880.649,790587.0994,1350586.295,46932.90061,37546.32049,228406.783,46959.58612,37567.66889,228536.6524,1546716.208,1098982.569,1465310.092,1546716.208,1098982.569,1465310.092,3967133.563,5180910.825
116,14168793.28,7257186.8,12095311.33,14168793.28,7257186.8,12095311.33,858807.7094,594559.1834,726683.4464,846162.2916,585804.6634,715983.4775,2107077.416,1404718.278,2399727.058,2110643.454,1407095.636,2403788.378,54272.30295,43417.84236,264125.2077,54245.61745,43396.49396,263995.3382,5008952.376,3558992.478,4745323.304,5008952.376,3558992.478,4745323.304,7519160.93,9443087.674
250,14434170.97,7393111.961,12321853.27,14434170.97,7393111.961,12321853.27,6608102.186,4574839.975,5591471.08,6595456.768,4566085.455,5580771.111,5862541.894,3908361.263,6676783.824,5866107.932,3910738.621,6680845.144,139739.1501,111791.3201,680063.8638,139712.4646,111769.9717,679933.9943,6421194.959,4562427.997,6083237.329,6421194.959,4562427.997,6083237.329,11610277.98,13570296.09
54,8917584.618,4567543.341,7612572.234,8917584.618,4567543.341,7612572.234,613176.7737,424506.9972,518841.8855,625822.1915,433261.5172,529541.8544,863383.8007,575589.2005,983298.2175,859817.7634,573211.8422,979236.8972,29038.04236,23230.43389,141318.4728,29064.72786,23251.78229,141448.3423,310074.9205,220316.3909,293755.1878,310074.9205,220316.3909,293755.1878,3548815.35,4764635.999
72,1493360.74,764892.0865,1274820.144,1493360.74,764892.0865,1274820.144,1820874.493,1260605.418,1540739.956,1833519.911,1269359.939,1551439.925,1283133.597,855422.3978,1461346.596,1279567.559,853045.0396,1457285.276,5340.056186,4272.044949,25988.27344,5313.370679,4250.696543,25858.40397,749196.32,532323.7011,709764.9348,749196.32,532323.7011,709764.9348,1874362.983,2080440.795
55,10569228.35,5413507.204,9022512.006,10569228.35,5413507.204,9022512.006,1000090.676,692370.4683,846230.5723,1012736.094,701124.9883,856930.5413,730641.5798,487094.3865,832119.577,727075.5424,484717.0283,828058.2567,90814.78335,72651.82668,441965.279,90788.09784,72630.47827,441835.4095,368044.8271,261505.535,348674.0467,368044.8271,261505.535,348674.0467,4240133.352,5680529.159
56,12509913.08,6407516.458,10679194.1,12509913.08,6407516.458,10679194.1,648092.6507,448679.5274,548386.0891,660738.0685,457434.0474,559086.058,1470259.396,980172.9308,1674462.09,1473825.434,982550.2891,1678523.41,21083.64462,16866.91569,102607.0705,21110.33012,16888.2641,102736.9399,261242.0907,185619.3802,247492.5069,261242.0907,185619.3802,247492.5069,4923415.959,6630514.562
